 Vic Law<>PF<>ORL<>15<>3<>11<>2<>8<>
 Jake Layman<>SF<>MIN<>210<>15<>57<>17<>23<>
 T.J. Leaf<>PF<>IND<>84<>9<>71<>10<>28<>
 Jalen Lecque<>SG<>PHO<>10<>2<>2<>0<>5<>
 Courtney Lee<>SG<>DAL<>107<>12<>32<>18<>24<>
 Damion Lee<>SG<>GSW<>621<>133<>239<>50<>49<>
 Alex Len<>C<>none<>438<>50<>321<>23<>55<>
 Alex Len<>C<>ATL<>349<>42<>230<>20<>40<>
 Alex Len<>C<>SAC<>89<>8<>91<>3<>15<>
 Kawhi Leonard<>SF<>LAC<>1543<>280<>402<>103<>57<>
 Meyers Leonard<>C<>MIA<>309<>55<>260<>14<>51<>
 Caris LeVert<>SG<>BRK<>842<>199<>189<>53<>45<>
 Damian Lillard<>PG<>POR<>1978<>530<>284<>70<>66<>
 Nassir Little<>PF<>POR<>172<>22<>108<>13<>48<>
 Kevon Looney<>C<>GSW<>68<>20<>66<>12<>20<>
 Brook Lopez<>C<>MIL<>813<>99<>312<>46<>68<>
 Robin Lopez<>C<>MIL<>357<>45<>161<>10<>66<>
 Kevin Love<>PF<>CLE<>987<>178<>547<>33<>56<>
 Kyle Lowry<>PG<>TOR<>1126<>433<>292<>82<>58<>
 Timothé Luwawu-Cabarrot<>SF<>BRK<>365<>29<>127<>18<>47<>
 Trey Lyles<>PF<>SAS<>404<>69<>361<>28<>63<>
 Daryl Macon<>PG<>MIA<>3<>1<>0<>0<>4<>
 J.P. Macura<>SG<>CLE<>0<>0<>0<>0<>1<>
 Josh Magette<>PG<>ORL<>12<>5<>6<>3<>8<>
 Ian Mahinmi<>C<>WAS<>283<>49<>218<>31<>38<>
 Thon Maker<>C<>DET<>281<>43<>167<>25<>60<>
 Terance Mann<>SF<>LAC<>99<>53<>55<>11<>41<>
 Boban Marjanović<>C<>DAL<>289<>20<>197<>8<>44<>
 Lauri Markkanen<>PF<>CHI<>737<>74<>313<>42<>50<>
 Caleb Martin<>SF<>CHO<>111<>23<>38<>12<>18<>
